id,text,retweet_count,favorite_count,lang,username,location,description,followers_count,friends_count,label
1250219300389974016,5 Can regularly rinsing your nose with saline help prevent infection with the new coronavirus,0,0,en,ucoptempe,"Bera, Pahang",#prinsip Rukun Negara #prinsip dalam hidup,411,2390,0
554886875303780352,French police chief killed himself after CharlieHebdo attack,184,44,en,Telegraph,"London, UK","Think ahead with the latest news, comment, analysis and video. 

Subscribe here: https://t.co/jRf9lAo5nY",3229906,884,1
1237901309011021825,Coronavirus disease COVID19 advice for the public Should I wear a mask to protect myself How to put on,1,4,en,kareem_alnakeeb,,"Diagnostic Radiologist at National Institute of Diabetes and Endocrinology - NIDE, Class 52 MU🔸Al-Ahly SC 🇪🇬 🔸FC Barcelona 🇪🇸",613,953,0
524958128392376320,Ottawa police confirm that there were multiple suspects in the shooting saying there were possibly 3 shooters,121,23,en,WSJ,"New York, NY","Sign up for our newsletters and email alerts: https://t.co/QevH0DLisA    

For WSJ customer support: https://t.co/DZgH9n4vAI",19784292,1065,0
1239295488677085185,if the primary focus of a government isnt to alleviate sufferingdeath and promote happinesswellbeing for its cit,1,6,en,hoss_bossman,"Georgia, USA","musician/writer/podcaster/youtuber/teacher/weirdo ""getting the word out about kindness & fun"" (-chris crofton) ~he/any~ @breadsheetpod #zeitgang #defundelonmusk",4888,5117,0
1250219998842216448,10 Are hand dryers effective in killing the new coronavirus,0,0,en,ucoptempe,"Bera, Pahang",#prinsip Rukun Negara #prinsip dalam hidup,411,2390,0
1241047451483553792,Does the new coronavirus affect older people or are younger people also susceptible Covid19 health,0,0,en,devangrt,Planet 🌍,🐸🦋Nature Lover🌳🌈,2670,1340,0
1221830244895686658,WHOPhilippines WHOMongolia takeshikasai DOHgov KKMPutrajaya KoreaCDC WHOKobe AMRCRCJAPAN MHLWitter,302,449,en,WHOWPRO,"Manila, Philippines","World Health Organization @WHO in the Western #Pacific Region, 🏠 to 1.9B in #Asia & #Oceania. See new tweets for updated #COVID19 advice. ➡️ RD @takeshi_kasai",237292,1246,0
489975398151618560,A memorial for MH17 victims forms near the Netherlands embassy in Kiev Roman PilipeyEPA,155,73,en,MSNBC,,"The place for in-depth analysis, political commentary and diverse perspectives. Home of @MSNBCDaily.",4680117,790,1
544289941996326912,Prime Minister Tony Abbotts statement on the SydneySiege Updates,138,49,en,australian,"Sydney, Australia",News from The Australian.,795067,558,0
676870737932742656,Plumber suing car dealership for 1M after truck he traded in ends up in hands of ISIS,157,99,en,ABC,New York City / Worldwide,"All the news and information you need to see, curated by the @ABC News team. Watch full ABC News broadcasts on @Hulu: https://t.co/w3wQ1O1Szs",17449428,488,1
520244836084228096,A penis spraypainted on a 25 million Bugatti was just for a prank video,107,56,en,mashable,,Mashable is for superfans. We're not for the casually curious. Obsess with us.,9429500,2740,1
626770498328895488,Translucent butterfly beautiful,243,135,en,Inmoodx9,,feelings you can relate to,155391,11141,1
538408710084001793,A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson,1241,494,en,TheSource,Worldwide (online & offline),Music. Culture. News. Sports. Fashion. Lifestyle. #MoreThanAMagazine. #TheSOURCE IG: @thesource Check Our Sister @HERSource.,746941,3690,0
1255794736759140352,hi everything ok hi everyone jadi berikut merupakan sedikit informasi untuk mengetahui what is covid19 se,0,8,in,choc0onut,halu village,hi!!!! this account contain do anything what make i'm happy🥰,42,274,0
672632899921833984,Why Have There Been More Mass Shootings Under Obama than the 4 Previous Presidents Combined,201,131,en,BlissTabitha,"Arizona, USA","Learning to live under a regime that hates freedom. Proud member of the #LGBFJB community! 

On GETTR 

*Hardly ever checks mentions. 
🚫 DMs. I won't see them.",107096,39610,1
1246818494995447809,What are the symptoms of COVID19 The most common symptoms of COVID19 are fever tiredness dry cough and bod,5,13,en,Harunzy_,,A Host | Son Of Grace | Meteorologist | Social Media Publicist |... @blaqbonez FC 😎✌🏼,10132,5913,0
1237315523773333504,How does COVID19 spread People can catch COVID19 from others who have the virus The disease can spread from per,0,0,en,molabus01,"Ilorin, Nigeria",son|| muslim|| microbiologist|| entrepreneur|| financial freedom and peace advocate|| die hard gunner 💪,72,185,0
525291306000846848,This cartoon is the perfect tribute to Nathan Cirillo OttawaShooting,158,101,en,Independent,"London, England","News, comment and features from The Independent. Get the app: https://t.co/3cP3AmmEDy  Telegram: https://t.co/WPhZllw7gj",3694597,404,0
1248595704240619523,5G mobile networks do not spread COVID19 WHO,15,50,en,daily_trust,"Abuja, Nigeria","Official Twitter handle of Daily Trust Newspapers, the most trusted news outlet in Nigeria",2194246,836,0
1235494521753997312,12 What can I do to protect myself and prevent the spread of disease Protection measures for everyone Stay aw,0,0,en,brianwairimu,"Laikipia,Kenya",Full of Self Drive and Determination| Agribusiness and Food Security| LAIKIPIA FARMER. | https://t.co/gCg7YGQch9 Student- Food Science  and Technology @DeKUTKenya. ●,3132,2844,0
524925987239120897,Soldier shot at National War Memorial in Ottawa cdnpoli hw,107,8,en,CBCPolitics,Ottawa,The CBC's Parliamentary Bureau on Twitter (photo: Patrick Morrell/CBC),242237,317,0
387030572779847680,Nonessential services shutdown Can someone explain to me how is essential while is not,129,31,en,th3j35t3r,https://keybase.io/th3j35t3r,Cyber Minuteman ●  Listed in TIME Mag Most Influential Ppl Online ● My laptop is exhibited in the Spy Museum DC ● Cameo role #MrRobot ● Creator: https://t.co/MGqb9NKtT4,178319,1337,1
1236192572575485952,The Coronavirus Outbreak Answers to your most common questions Updated March 2 2020 What is a coronavirus It is,0,0,en,Dew95123129,Sudan,I'm  different,26,121,0
407212665350942720,Fast and Furious Cast Mourns Paul Walkers Death,117,70,en,mashable,,Mashable is for superfans. We're not for the casually curious. Obsess with us.,9429421,2740,0
514495841600811009,iPhone 6 owners claim its bending in their pockets,232,101,en,TIME,,News and current events from around the globe. Subscribe: https://t.co/yT0dueLEm0,18970291,519,1
1255068286141829120,Plagiarism is the new virus what is covid19,2,27,en,aaliyamotala1,"Sandton, Gauteng",Wits 🏛,1061,619,0
1239374019633217536,MISCONCEPTIONS 1 COVID19 is just like the fluanother strain of the flu 2 COVID19 is not as infectious n,0,0,en,Garcialabs,,MS1 | MD-PhD Student UWSMPH | IU Alumn | House-Plant Entusiast |Cat Dad,83,189,1
1254538699414609920,What are the symptoms of COVID19 Is COVID19 airborne Here are the answers to your biggest questions about the c,146,235,en,TIME,,News and current events from around the globe. Subscribe: https://t.co/yT0dueLEm0,18970291,519,0
1250220791544705025,15 Drinking alcohol does not protect you against COVID19 and can be dangerous,0,0,en,ucoptempe,"Bera, Pahang",#prinsip Rukun Negara #prinsip dalam hidup,411,2390,0
1242485242046205955,Cold weather and snow CANNOT kill the new coronavirus There is no reason to believe that cold weather can kill the,0,0,en,eric_tablizo,"Valenzuela City, National Capi",I'm Eric Bernard R Tablizo and I'm a transfery from SMACV last year. I usually study in the CDSC when I was in Grade 1 to Grade 5 charity,94,765,0
1253157289587929089,Saying covid19 is just like the flu IsAMassiveUnderstatement,0,3,en,SanjiTill,Canada,98% Chimpanzee,2084,4253,1
1235014618910728196,Editorial What is a coronavirus How dangerous is it What should you do Heres a look at facts vs falsehoods,0,0,en,mailtribune,"Medford, OR","The longest-running & most trusted news organization in Southern Oregon. In-depth reporting on local news, sports & lifestyle.",9193,290,0
1226224930548834306,Do vaccines against pneumonia protect you against the new coronavirus NO Here are WHO mythbusters on the,16,25,en,UNGeneva,"Geneva, Switzerland","🇺🇳 Working for peace, rights and wellbeing.
https://t.co/VuvBq5PDLE 
https://t.co/NZLKiN3kHe 
https://t.co/kNvbpoMRe1…
https://t.co/cWPZ5ASKXc",773583,1922,0
616421546702336000,Woah nature,152,191,en,mashable,,Mashable is for superfans. We're not for the casually curious. Obsess with us.,9429500,2740,0
510931521306243072,UPDATE UK Prime Minister David Cameron describes apparent beheading of David Haines as an act of pure evil,226,145,en,FoxNews,U.S.A.,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",21421149,262,0
544350712365207552,BREAKING Reports two customers and an employee have escaped the SydneySiege,100,46,en,dailytelegraph,"Sydney, Australia","Follow for breaking news in Sydney. NRL News, Sport, Entertainment and Business. We'll retweet our journalists here too",214237,14119,0
1249603458132594689,How effective are thermal scanners in detecting people infected with the new coronavirus GautengCOVID19,3,6,en,GP_CommSafety,25 Pixley Ka Isaka Seme Street,Towards a safer Gauteng,80148,3848,0
1252780892910751744,helenduncangavi alexismadrigal jackmurphylive 45000 people died last year in the US in 7 weeks and that hasnt,0,0,en,leappoffo,"District of Columbia, USA",poffo,188,800,0
507242819623587841,BREAKING Tesla to choose Nevada for gigafactory sources tell CNBC,147,114,en,CNBC,"Englewood Cliffs, NJ",First in business worldwide.,4647212,854,0
1235493800426037248,9 Can the virus that causes COVID19 be transmitted through the air Studies to date suggest that the virus that,0,0,en,brianwairimu,"Laikipia,Kenya",Full of Self Drive and Determination| Agribusiness and Food Security| LAIKIPIA FARMER. | https://t.co/gCg7YGQch9 Student- Food Science  and Technology @DeKUTKenya. ●,3132,2844,0
519965814175567872,A vandal painted a brilliantly simple penis on a 2 Million Bugatti Veyron,102,66,en,digg,The Interwebs,Curating the chaos of the Internet. Find something great? 📲 tips@digg.com,1237470,303,1
1239811802289958913,Can spraying alcohol or chlorine all over your body kill the new coronavirus Do vaccines against pneumonia protec,0,0,en,themountica,"Mountica, Bandipur J&K 193502",India's Premium Packaged Drinking Water | By @jazaabeverages | Vocal For Local | @makeinindia | Policy https://t.co/VKZ0CvRQfs,68,28,0
1239327563958439936,Should I wear a mask to protect myself Only wear a mask if you are ill with COVID19 symptoms especially coughin,0,2,en,mugabo_robert,Rwanda     ,Let no one think that flexibility and a predisposition to compromise is a sign of weakness or sell-out. ~President @PaulKagame | Psalm 115:15-16,1724,1441,0
501774615837163521,List of overnight arrests in Ferguson much higher than officials reported via FergusonUnity,318,114,en,YourAnonNews,The Interwebs,"We are Anonymous, we are legion, we do not forgive, we do not forget. Expect us. 

Prepared to go forward w/it. Here live. Not a cat.

#Anonymous #HackThePlanet",8042277,833,1
520284654755381249,Report Amazon plans to open its first physical store in New York,109,41,en,mashable,,Mashable is for superfans. We're not for the casually curious. Obsess with us.,9429500,2740,1
1240697724581728256,COVID19 myth buster How effective are thermal scanners in detecting people infected with the new coronavirus,2,2,en,UNICEFJamaica,"Kingston, Jamaica",We support government & non-governmental partners to promote & fulfill the rights of children. #foreverychild,17369,774,0
1223585691445223430,Q Are antibiotics effective in preventing and treating the new coronavirus 2019nCoV A No antibiotics do no,0,0,en,CaribCardiac,The Caribbean,The Professional and Academic Home of Caribbean Cardiac Medicine and Science.,482,282,0
1229723465088892928,FACT Cold weather and snow cannot kill the new coronavirus COVID19 KnowtheFacts,493,676,en,WHO,"Geneva, Switzerland","We are the #UnitedNations’ health agency - #HealthForAll.
▶️ Always check our latest tweets on #COVID19 for updated advice/information.",11131362,1752,0
407162181059612672,Paul Walker died at the age of 40 Saturday Our hearts go out to his family and friends,120,118,en,usweekly,,"Your trusted source for the latest celebrity news, photos, videos and more!",2133693,1156,0
562313802369073153,Annual simulated Madden game made several accurate SB49 predictions including final score,140,166,en,ABC,New York City / Worldwide,"All the news and information you need to see, curated by the @ABC News team. Watch full ABC News broadcasts on @Hulu: https://t.co/w3wQ1O1Szs",17449428,488,0
1259873297371725825,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID19 and c,1,1,en,cjorgaz,"London, England",Periodista de @bbcmundo Antes #Economía y #Finanzas en @abc_es @dowjones @fundssociety,1261,684,0
1251809538199732227,How can I grocery shop safely in the time of COVID19 FlattenTheCurve SocialDistancing,383,675,en,DrZweliMkhize,,Former ANC Treasurer General Current Minister of Health,596144,38044,0
1261905488448552960,Regarding the results of Non Executive Post Technician 1 Total Vacancies were 75 out of that only 22 candidates,1,1,en,RAHULDJ_2011989,India,,23,142,0
1225015920684302336,WHOWPRO WHOSEARO WHOEurope pahowho WHOEMRO WHOAFRO Q Can 2019nCoV be caught from a person who presents no,134,191,en,WHO,"Geneva, Switzerland","We are the #UnitedNations’ health agency - #HealthForAll.
▶️ Always check our latest tweets on #COVID19 for updated advice/information.",11131418,1752,0
