source	replies	label
5. Can regularly rinsing your nose with saline help prevent infection with the new coronavirus? https://t.co/ccMjhhD7BK	4. Can eating garlic help prevent infection with the new coronavirus? #COVID19Malaysia https://t.co/q133xXBiwl<EOS>6. Do vaccines against pneumonia protect you against the new coronavirus? https://t.co/wL0mlEqU95<EOS>7. Can spraying alcohol or chlorine all over your body kill the new coronavirus? #Chamber https://t.co/zunVR7Ht0V<EOS>8. How effective are thermal scanners in detecting people infected with the new coronavirus? https://t.co/nyLOyKAb1H<EOS>9. Can an ultraviolet disinfection lamp kill the new coronavirus? https://t.co/ZrlllbkIjm<EOS>10. Are hand dryers effective in killing the new coronavirus? https://t.co/cSDKXO1bGr<EOS>11. The new coronavirus CANNOT be transmitted through mosquito bites. https://t.co/ZRL8bjRkpl<EOS>12. Taking a hot bath does not prevent the new coronavirus disease https://t.co/bICOqSTOuD<EOS>13. Cold weather and snow CANNOT kill the new coronavirus. https://t.co/7yeQQ6gLNo<EOS>14. COVID-19 virus can be transmitted in areas with hot and humid climates https://t.co/ylKa2F40vu<EOS>15. Drinking alcohol does not protect you against COVID-19 and can be dangerous https://t.co/ZrLN61q046<EOS>16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. https://t.co/gPUL51Y2lx<EOS>17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. https://t.co/yrjUM5qniK<EOS>18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) https://t.co/aOQKrrwaBv<EOS>19. 5G mobile networks DO NOT spread COVID-19 https://t.co/VjqelBmpTn<EOS>	nonrumour
French police chief killed himself after #CharlieHebdo attack http://t.co/KC8nCzimBl http://t.co/EnZQarIezF	Devastating. RT “@Telegraph: French police chief killed himself after #CharlieHebdo attack http://t.co/QAWv7u1yUy http://t.co/ihf5hDbdKX”<EOS>@Rene_gadeCowboy @Telegraph. Nothing to see here. Move along.<EOS>@Telegraph @wmiddelkoop it stinkS !!! These whole affaire!!!<EOS>@Telegraph And tasked with investigating Charlie Hebdo shooting. But 'obviously' just a strange coincidence. Not like he discovered anything<EOS>FWIW, his 2nd in command comitted suicide in 2013, &amp; he found the body. So, there's that. :P @Telegraph @wonderfullone<EOS>Ohh boy,Here v go Pakistanis already calling it false flag by Eivil Jews MT"@_EretzYisrael:@Telegraph:#CharlieHebdo http://t.co/az5hLEzHON"<EOS>“@Telegraph: French police chief killed himself after #CharlieHebdo attack http://t.co/z6XSVtxLGG http://t.co/TttVOK3P8T” 😳 wtf?<EOS>@Telegraph Why?<EOS>@Telegraph @HenryMakow Yeh sure he did...<EOS>@Telegraph @Commuter_Rants why are you reporting this three days after it happened?<EOS>@Telegraph,only those cartoonistS are responsible, those were sent to hell,by humiliating norms of Islam and blasphemy of PBUH OF ISLAM.<EOS>@Telegraph @billpostmus so horrible.<EOS>@Telegraph @farahdeez They killed him how can he kill himself? was shot in the forehead! so taht he doesnt get who's behind it<EOS>@Telegraph @DestinyandBruce WHAT YA WANNA BET HE WAS KILLED??????????<EOS>@Telegraph @Rene_gadeCowboy took it kinda personal I guess, sad<EOS>@Telegraph @TelegraphNews Don't worry...it's all another weird coincidence. No conspiracy here.<EOS>@Telegraph @TelegraphNews such a sad loss 😔may he now RIP<EOS>@Telegraph How very sad.<EOS>@Telegraph @TelegraphNews The trauma he must have faced. Very sad.<EOS>“@Telegraph: French police chief killed himself after #CharlieHebdo attack http://t.co/DJAyu2GC5C http://t.co/8X6V2RX2kc” #RIP. Terrible!<EOS>@janecat60 oh no... @Telegraph<EOS>@Telegraph we will be very satisfied if #NawazSharif resigns. Here they hide the reports which blames them.<EOS>@Telegraph horrible!!! Needless. Did Dubya kill himself after 9/11 or just go brain-dead...<EOS>	rumour
Coronavirus disease (COVID-19) advice for the public:  ✳️ Should I wear a mask to protect myself?  ✳️ How to put on, use, take off and dispose of a mask?  ✳️ When and how to use masks?  https://t.co/hYwVDOX3mn https://t.co/aj1CKwbKkE	Infection control for suspected or confirmed COVID-19 cases   ✳️ WHO recommendations:  https://t.co/ScAizY5HOZ  ✳️ CDC recommendations  https://t.co/2xnkweKw2q<EOS>🔘 personal protective equipment (PPE)  https://t.co/kGEsQpBpAi  🔘 N95 Respirators and Surgical Masks (Face Masks)  https://t.co/t2ambIeotz  🔘 Surgical Mask vs N95 Respirator  https://t.co/vVEPxdN1uw https://t.co/WY3jaTmzDA<EOS>	nonrumour
Ottawa police confirm that there were multiple suspects in the shooting, saying there were "possibly 3" shooters. http://t.co/In9OgOxYXM	@WSJ @HeyTammyBruce I hope this isn't just a prelude to a bigger attack.<EOS>@WSJ Killers go berserk when cornered.  Henceforth, no lapses in security should be there.<EOS>@45_nabeel hahaha, you said far more than you think<EOS>@WSJ @macdonaldajm terrorists in ottawa<EOS>@WSJ when Canadians of all people start shooting, well, "c'est la fin du monde, non?"<EOS>	nonrumour
if the primary focus of a government isn't to alleviate suffering/death and promote happiness/wellbeing for its citizens, why do we need it to begin with?		nonrumour
10. Are hand dryers effective in killing the new coronavirus? https://t.co/cSDKXO1bGr	15. Drinking alcohol does not protect you against COVID-19 and can be dangerous https://t.co/ZrLN61q046<EOS>16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. https://t.co/gPUL51Y2lx<EOS>17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. https://t.co/yrjUM5qniK<EOS>18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) https://t.co/aOQKrrwaBv<EOS>19. 5G mobile networks DO NOT spread COVID-19 https://t.co/VjqelBmpTn<EOS>	nonrumour
Does the new coronavirus affect older people, or are younger people also susceptible? #Covid_19 #health https://t.co/Kg0Qb5oMs8	Do vaccines against pneumonia protect you against the new coronavirus? #Covid_19 #Corona  https://t.co/p32DVhtTz8 https://t.co/wfUD9kymwP<EOS>Are there any specific medicines to prevent or treat the new coronavirus? #Covid_19 #coronavirus https://t.co/U1J90AkZdm<EOS>	nonrumour
@WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)? A: No, antibiotics do not work against viruses, only bacteria. The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. https://t.co/UAd9CFDHyq	@WHOWPRO @WHOPhilippines @WHO_Mongolia @takeshi_kasai @DOHgov @KKMPutrajaya @KoreaCDC @WHOKobe @AMRCRC_JAPAN @MHLWitter @jameschau @minhealthnz @MoHFW_INDIA @minhealthci @sporeMOH @loyingru @SonjaTanevska @DrRasul_WHO @WHO @healthgovau @fijiconsulate @Fiji_MOFA Q: Chinese doctors said, we will use HIV drug to treat this virus firstly ! does this useful ? or just trial and error in Chinese treatment methodology ? https://t.co/Qy43gnNFgi<EOS>	nonrumour
A memorial for #MH17 victims forms near the Netherlands embassy in Kiev: http://t.co/U83G4R5YIp (Roman Pilipey/EPA) http://t.co/3s7t2q4sv2	@msnbc RIP<EOS>@msnbc Putin thinks he was the target, and the Ukies shot down the wrong plane. #MSNBC @GEpublicaffairs @GE #GE $GE<EOS>@gs_stark Путин убыл её мозг?<EOS>@msnbc @texyellowdogdem U folks didn't deserve this level of tragedy.I'd like 2 offer my condolences to families of the victims<EOS>@msnbc really sad tragic loss<EOS>	rumour
Prime Minister Tony Abbott's statement on the #SydneySiege. Updates: http://t.co/EgWHAnjO35 http://t.co/AGhyN5Qkei	@australian Prime ministers should not have to comment on everything.<EOS>@australian @JRCarrollCJ<EOS>“@australian: Prime Minister Tony Abbott's statement on the #SydneySiege. Updates: http://t.co/JdOuBIWgOy http://t.co/7PNaXrDndK”<EOS>	nonrumour
